trust_type,trust_name,system_name,user_category,sus_score,csus_score,review_positive_text,review_negative_text,,,
Scottish Health Board,NHS Greater Glasgow and Clyde,Orion Health Consult / Clinical Portal (aka Concerto) (Orion Health),Secondary / Tertiary Care Doctor,75,32.5,"Easy to read, comprehensive source of information","Needs to be faster, especially cumulative views. Needs more reliability/less downtime. Display of documents needs a comprehensive review - too many categories with ever increasing granularity actually makes a record more difficult to read, and increases opportunities for users to classify documents incorrecty, which they do frequently.",,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),Manager,40,20,all information is  ultimately accessible I one place (desktop) ,simplify the system in a more  manageable format and without duplication  such as  case notes /activity recording   more an electronic   version of a paper file  ,,,
Acute Foundation Trust,Sheffield Teaching Hospitals NHS Foundation Trust,Lorenzo (CSC),Secondary Care / Inpatient Nurse,30,12.5,,Stop it continually crashing. Cut down on the numerous steps involved in order to get patients details/ look at clinics etc. Generally make it more user friendly. I run a patient helpline and fine Lorenzo adds time to calls as it takes me longer to access patient information and this week I have had to call patients back as the system crashed. I have to switch my PC off at the wall almost daily due to Lorenzo crashing.,,,
Mental Health Foundation Trust,Oxleas NHS Foundation Trust,RiO (Servelec Healthcare),Secondary Care / Inpatient Nurse,70,35,very clear,none,,,
Scottish Health Board,NHS Orkney,Vision 3 (INPS),Primary Care Doctor - GP,45,12.5,"Flexible, can be customised to some extent","Less information on each screen, larger font size, more intuitive navigation, get rid of the tiny incomprehensible icons, add a built in spellcheck/autocorrection function, more templates to guide accurate readcoding and more detailed management plans without having to enter everything freetext, get rid of the problems list, opt for Vision Plus or Guidelines (not both at the same time). ",,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),"Community Nurse - School Nurse, Health Visitor etc",22.5,22.5,Purely that is electronic as oppose to paper notes.,"Unable to access info i need. 
Information not saved in helpful appropriate places.
I want a section for diagnosis, section for medication rather than reading full documents. I also want a history in chronological order and do not want to be going in and out of screens to find the information when pressured for time.
Anyone withy extensive history takes taime to load and relevent information is not captured well with potentially hundreds of documents to screen.
Work is frequently lost as computer resets and freezes holding up clinical work.",,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS EAST RIDING OF YORKSHIRE CCG,IAPTUS,Counsellor/psychotherpist,57.5,32.5,The provision of the graphs regarding clinical data is a useful source of information for me as a professional and my client.,"Simplify filling in the questionnaires as each section has to be submitted separately.
Also simplify booking in appointments.",,,
Scottish Health Board,NHS Orkney,Vision 3 (INPS),Primary Care Doctor - GP,50,20,I'm relatively used to it now and so find it reasonably easy to use in a consultation.,Easier to change some of the default ( the thing that comes up first when you type in a drug or diagnosis)settings for drugs/ diagnoses.,,,
Mental Health Foundation Trust,Cumbria Partnership NHS Foundation Trust,IAPTUS,IT or Technical Staff,97.5,40,System is designed for IAPT services so meets our needs and makes national reporting easy,Reporting can be quite difficult using the inbuilt reporting tool,,,
Acute Trust (non-Foundation),Sandwell and West Birmingham Hospitals NHS Trust,Badgernet,Research Midwife,62.5,27.5,,,,,
Acute Trust (non-Foundation),Sandwell and West Birmingham Hospitals NHS Trust,Telecare (Mill Systems),IT or Technical Staff,55,15,When used correctly it is fast at presenting reports and Data Information.,The inconsistency issues within the system and we would have a mutual working relationship with the software provider not one where they provider holds all the options.,,,
Acute Trust (non-Foundation),Sandwell and West Birmingham Hospitals NHS Trust,Lorenzo (CSC),"Administrative staff - eg ward clerk, clinical coder, secretary",67.5,25,Clear OPA history and Inpatient history.,Waiting list could be made easier to negotiate from what i recall.,,,
Acute Trust (non-Foundation),Sandwell and West Birmingham Hospitals NHS Trust,CDA,Secondary / Tertiary Care Doctor,57.5,22.5,,Crashes & fails too often to rely on the system without written noes  / back ups!!!,,,
Acute Trust (non-Foundation),Sandwell and West Birmingham Hospitals NHS Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,55,20,,Too slow to print out order requests++++ !!!!,,,
Acute Trust (non-Foundation),Sandwell and West Birmingham Hospitals NHS Trust,SystmOne Community (TPP),,57.5,27.5,To be able to gain more information from other trusts as many patients go to different trusts for treatments.,Being able to do things only one way as at present everyone does it differently but just takes another route.,,,
Mental Health Trust (non-Foundation),South West London and St George's Mental Health NHS Trust,IAPTUS,Psychologist,52.5,20,relatively straightforward to enter outcome measures and clinical notes,"Information is not easily displayed in a chronological order due to the different 'care episodes'.
There is a poor transition and communication between child and adult services due to different systems being used in the trust (IAPTUS and RIO)",,,
Mental Health Foundation Trust,Norfolk and Suffolk NHS Foundation Trust,IAPTUS,Secondary / Tertiary Care Doctor,35,22.5,Looks clear and dashboard is helpful,"Many parts: 
Alerts to be more visible for more to be added- links to police databases or create a risk tab
A Medication tab which links directly to GPS
A blood test/ laboratory part- direct link to laboratory results
Emails to be linked to GPs
",,,
Acute Trust (non-Foundation),Sandwell and West Birmingham Hospitals NHS Trust,i.CM (CSC),"Physiotherapy, OT, Medical Technicians",40,27.5,ability to graph blood results,lots!,,,
Mental Health Trust (non-Foundation),Coventry and Warwickshire Partnership NHS Trust,IAPTUS,CBT therapist,30,12.5,n/a,"freezes continually,
Has too many areas which duplicate, are unesccary, poor groups inclusion.",,,
Mental Health Trust (non-Foundation),North Staffordshire Combined Healthcare NHS Trust,IAPTUS,"Administrative staff - eg ward clerk, clinical coder, secretary",75,27.5,User friendly,The ability to adapt the system more locally,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS BROMLEY CCG,IAPTUS,Psychologist,90,37.5,"User friendly, good interface.","It would be helpful if an electronic booking system could be incorporated, so that client's could book in initial assessment slots or initial treatment slots.

It would also be helpful if the assessment tab could be synced to the clinical notes when it has been logged as an assessment session.",,,
Mental Health Foundation Trust,Derbyshire Healthcare NHS Foundation Trust,IAPTUS,"Administrative staff - eg ward clerk, clinical coder, secretary",65,25,,"I would include more facility to do batch functions, for example, when a therapist leaves and you're re-allocating patients, you have to change each patient individually. Being able to move all patients from therapist 1 to therapist 2 would be very helpful. Also, it would be helpful to be able to send the same letter to a number of patients in en masse, rather than having to do each individually.

Also, the system sometimes hangs, requiring data to be re-entered.",,,
Mental Health Foundation Trust,South Staffordshire and Shropshire Healthcare NHS Foundation Trust,IAPTUS,Counsellor,57.5,10,it is easy to know what you have to put where,"there are too many places to look and pages to go through.  If I want to start working with a client there are documents in documents file and clinicial notes and non clinical notes and several different places for the assessment and risk information. And the pages won't all stay open at the same time. Each page only takes a few seconds to open but it is too bitty to get a case clearly in my head prior to meeting the client.  
I also find all the bright colors and different fonts distracting and bits of the system work differently to others, which again is distracting and gives many places where I can loose track of what is important.",,,
